Symbol,Company Name,Industry,Sector
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,Unknown
NAVA,NAVA LIMITED,Power Generation,Unknown
NAVINFLUOR,Navin Fluorine International Limited,Specialty Chemicals,Unknown
NBCC,NBCC (India) Limited,Civil Construction,Unknown
NCC,NCC Limited,Civil Construction,Unknown
NESTLEIND,Nestle India Limited,Packaged Foods,Unknown
NETWEB,Netweb Technologies India Limited,IT Enabled Services,Unknown
NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,Unknown
NEWGEN,Newgen Software Technologies Limited,Computers - Software & Consulting,Unknown
NH,Narayana Hrudayalaya Ltd.,Hospital,Unknown
NHPC,NHPC Limited,Power Generation,Unknown
NIACL,The New India Assurance Company Limited,General Insurance,Unknown
NIVABUPA,Niva Bupa Health Insurance Company Limited,General Insurance,Unknown
NLCINDIA,NLC India Limited,Power Generation,Unknown
NMDC,NMDC Limited,Industrial Minerals,Unknown
NSLNISP,NMDC Steel Limited,Iron & Steel,Unknown
NTPC,NTPC Limited,Power Generation,Unknown
NTPCGREEN,NTPC Green Energy Limited,Power Generation,Unknown
NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,Unknown
NUVOCO,Nuvoco Vistas Corporation Limited,Cement & Cement Products,Unknown
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,Unknown
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,Unknown
OFSS,Oracle Financial Services Software Limited,Software Products,Unknown
OIL,Oil India Limited,Oil Exploration & Production,Unknown
OLAELEC,Ola Electric Mobility Limited,2/3 Wheelers,Unknown
OLECTRA,Olectra Greentech Limited,Passenger Cars & Utility Vehicles,Unknown
ONESOURCE,Onesource Specialty Pharma Limited,Pharmaceuticals,Unknown
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,Unknown
PAGEIND,Page Industries Limited,Garments & Apparels,Unknown
PARADEEP,Paradeep Phosphates Limited,Fertilizers,Unknown
PATANJALI,Patanjali Foods Limited,Edible Oil,Unknown
PAYTM,One 97 Communications Limited,Financial Technology (Fintech),Unknown
PCBL,PCBL Chemical Limited,Carbon Black,Unknown
PERSISTENT,Persistent Systems Limited,Computers - Software & Consulting,Unknown
PETRONET,Petronet LNG Limited,LPG/CNG/PNG/LNG Supplier,Unknown
PFC,Power Finance Corporation Limited,Financial Institution,Unknown
PFIZER,Pfizer Limited,Pharmaceuticals,Unknown
PGEL,PG Electroplast Limited,Consumer Electronics,Unknown
PHOENIXLTD,The Phoenix Mills Limited,Residential Commercial Projects,Unknown
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals,Unknown
PIIND,PI Industries Limited,Pesticides & Agrochemicals,Unknown
PINELABS,Pine Labs Limited,Financial Technology (Fintech),Unknown
PIRAMALFIN,Piramal Finance Limited,Non Banking Financial Company (NBFC),Unknown
PNB,Punjab National Bank,Public Sector Bank,Unknown
PNBHOUSING,PNB Housing Finance Limited,Housing Finance Company,Unknown
POLICYBZR,PB Fintech Limited,Financial Technology (Fintech),Unknown
POLYCAB,Polycab India Limited,Cables - Electricals,Unknown
POLYMED,Poly Medicure Limited,Medical Equipment & Supplies,Unknown
POONAWALLA,Poonawalla Fincorp Limited,Non Banking Financial Company (NBFC),Unknown
POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,Unknown
POWERINDIA,Hitachi Energy India Limited,Heavy Electrical Equipment,Unknown
PPLPHARMA,Piramal Pharma Limited,Pharmaceuticals,Unknown
PREMIERENE,Premier Energies Limited,Other Electrical Equipment,Unknown
PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects,Unknown
PTCIL,PTC Industries Limited,Other Industrial Products,Unknown
PVRINOX,PVR INOX Limited,Film Production Distribution & Exhibition,Unknown
PWL,Physicswallah Limited,E-Learning,Unknown
RADICO,Radico Khaitan Limited,Breweries & Distilleries,Unknown
RAILTEL,Railtel Corporation Of India Limited,Other Telecom Services,Unknown
RAINBOW,Rainbow Childrens Medicare Limited,Hospital,Unknown
RAMCOCEM,The Ramco Cements Limited,Cement & Cement Products,Unknown
RBLBANK,RBL Bank Limited,Private Sector Bank,Unknown
RECLTD,REC Limited,Financial Institution,Unknown
REDINGTON,Redington Limited,Trading & Distributors,Unknown
RELIANCE,Reliance Industries Limited,Refineries & Marketing,Unknown
RHIM,RHI MAGNESITA INDIA LIMITED,Electrodes & Refractories,Unknown
RITES,RITES Limited,Civil Construction,Unknown
RKFORGE,Ramkrishna Forgings Limited,Auto Components & Equipments,Unknown
RPOWER,Reliance Power Limited,Power Generation,Unknown
